116.471657,39.897607,0
116.471604,39.897577,5
116.471603,39.897613,10
116.471508,39.897625,15
116.471457,39.897597,20
116.47143,39.897577,25
116.471446,39.897581,30
116.471377,39.89759,35
116.471379,39.897604,40
116.471366,39.897587,45
116.471307,39.8976,50
116.471283,39.897592,55
116.471274,39.897587,60
116.471241,39.897584,65
116.471255,39.8976,70
116.471229,39.897595,75
116.471175,39.897609,80
116.471185,39.897607,85
116.47114,39.897601,90
116.4711,39.897622,95
116.471069,39.897611,100
116.471071,39.897587,105
116.471016,39.89761,110
116.471031,39.897605,115
116.471012,39.897621,120
116.470989,39.897627,125
116.470943,39.897601,130
116.470931,39.897585,135
116.470902,39.897595,140
116.470886,39.897627,145
116.470854,39.89759,150
116.470723,39.897584,155
116.470622,39.897625,160
116.470458,39.897617,165
116.470206,39.897629,170
116.469938,39.89763,175
116.469628,39.897629,180
116.469527,39.897611,185
116.469513,39.897596,190
116.469513,39.897627,195
116.46942,39.897615,200
116.469402,39.897611,205
116.469253,39.897628,210
116.469024,39.897612,215
116.468905,39.897601,220
116.468816,39.897608,225
116.468656,39.897597,230
116.468453,39.89764,235
116.468249,39.897597,240
116.468096,39.897723,245
116.468109,39.897831,250
116.468093,39.898001,255
116.468114,39.898234,260
116.468133,39.898422,265
116.467796,39.898501,270
116.467463,39.898353,275
116.46746,39.898164,280
116.467401,39.898158,285
116.467404,39.898154,290
116.467363,39.898118,295
116.467224,39.898311,300
116.467262,39.898616,305
116.467781,39.898952,310
